series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,HBII-52-34_x_st,0.0567047249056603,0.279028043589744,1.97607807604213,0.0499021502968553,0.150039687286538,-4.97058841209436
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212511_st,0.058463498490566,0.273817857692308,1.9732615924308,0.0502251896283389,0.150681606647643,-4.97599294742611
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-1292_st,0.130333446686792,0.625093141282051,1.97275935955438,0.0502829792311124,0.150681606647643,-4.97695590926896
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-588_st,0.0880313669433961,0.263565609230769,1.96625345040081,0.051036682908626,0.15268615601069,-4.98940901495304
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,U36A_x_st,0.0787064616981128,0.568747191666667,1.95893062489052,0.0518964291382093,0.155000777575315,-5.00337897986872
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212168_st,0.0543173243396228,0.322655095512821,1.95516343047706,0.052343466343092,0.156077123979981,-5.01054644092801
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ACA49_st,-0.0734831466603775,0.372015229935897,-1.95321116035078,0.0525764101061009,0.1565125861175,-5.01425566211688
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ACA55_st,-0.0617055995471698,0.329392558205128,-1.94779450970215,0.0532273075335155,0.158188747306702,-5.02452856954272
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-519c-3p_st,0.0662575472784905,0.218736074,1.945885520362,0.0534583169852277,0.158613556656335,-5.02814257485752
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ACA15_x_st,-0.0894720826415092,0.629515286923077,-1.94109004304488,0.0540423558926846,0.159385017828419,-5.03720624999398
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000200677_st,0.0538225662641509,0.28785003974359,1.94028738167032,0.0541406350126838,0.159385017828419,-5.03872123617787
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000200237_st,-0.104907617396226,0.531439582948718,-1.94013852991097,0.054158877197771,0.159385017828419,-5.03900212137437
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-128_st,-0.121282887433963,0.525980030897436,-1.93929525170076,0.0542623210155708,0.159385017828419,-5.04059301070508
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-888-star_st,0.134287080022641,0.323434833846154,1.93911323768447,0.0542846702591429,0.159385017828419,-5.0409363034055
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-204_st,0.114181893566038,0.443677004807692,1.93887265866202,0.0543142225146106,0.159385017828419,-5.04139000719848
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212581_st,0.0603171922377358,0.365781132628205,1.93827209033304,0.0543880542966318,0.159385017828419,-5.04252237452784
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-580_st,0.100350250883019,0.292735618333333,1.93796117033856,0.0544263109186438,0.159385017828419,-5.04310848067716
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000206869_x_st,0.0471621037358491,0.306507588846154,1.93708646229168,0.054534059474238,0.159441300508284,-5.04475688663099
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-1260_st,0.144560049811321,0.764947720512821,1.93397517430585,0.0549187720639458,0.160305848439492,-5.05061442869425
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,HBII-52-39_x_st,0.057461160264151,0.245059658717949,1.93293174506974,0.0550483032083017,0.160421196198452,-5.05257685714107
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-1265_st,0.076622563498113,0.25657883275641,1.93184598455417,0.0551833622566258,0.160421196198452,-5.05461782862463
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212175_st,0.0591912384150944,0.362407675641026,1.93150761851759,0.0552255089633761,0.160421196198452,-5.05525365292686
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-613_st,0.109049937728302,0.304448086410256,1.93061805273258,0.0553364420767947,0.160484592882942,-5.05692473145546
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000200969_x_st,0.0739473783018866,0.405103295512821,1.92908075984111,0.0555285918396491,0.160782948397441,-5.05981085713849
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ACA63_st,-0.0709262798113209,0.493197462179487,-1.92248709964648,0.0563591267411101,0.162847017007842,-5.07216498757865
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000201393_st,0.0643023861509434,0.327594625,1.92198901788729,0.0564222868478032,0.162847017007842,-5.07309657418783
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-1253_st,0.097132334728302,0.421905441961538,1.91679427498342,0.0570845676888339,0.164494890252144,-5.08279883609969
