sample_id,group,label,series_id,macrophage_myeloid_score,macrophage_myeloid_markers_found,t_cell_score,t_cell_markers_found,b_cell_score,b_cell_markers_found,fibroblast_matrix_score,fibroblast_matrix_markers_found,epithelial_ciliary_score,epithelial_ciliary_markers_found,endothelial_score,endothelial_markers_found,wnt_tnik_axis_score,wnt_tnik_axis_markers_found
GSM806373,Control,0,GSE32537,0.2532317880713616,11,0.04383448471011421,7,-0.7623777756496923,4,-0.7080023775790805,10,-0.35316209337231463,10,0.8849015568578312,6,0.1653659750030706,9
GSM806374,Control,0,GSE32537,-0.03233668519586324,11,-0.4866243670138161,7,-0.7161667883577423,4,-1.125477446499405,10,-0.3609531631175286,10,0.35504457825600727,6,0.0564472886012066,9
GSM806375,Control,0,GSE32537,0.02267717408462166,11,-0.15042320594096317,7,-0.41363133244739086,4,-0.5823001063869491,10,-1.569287456099634,10,1.0825636663936418,6,-0.009787438632108821,9
GSM806376,Control,0,GSE32537,0.7767803097472364,11,0.0665069184980267,7,-0.4224074274382294,4,-0.9112811672920085,10,-0.53050261249425,10,0.45398224443385354,6,0.07467403880710356,9
GSM806377,Control,0,GSE32537,0.6384279897551408,11,-0.45473775080107703,7,-0.4234156809630786,4,-0.9680312145294143,10,-0.49244344249537847,10,1.4555302141694508,6,-0.3430580794663165,9
GSM806378,Control,0,GSE32537,0.6305928335517276,11,0.5916132881592356,7,-0.5737099612188332,4,-0.4170262322519377,10,-0.919683233994293,10,0.4109947743015683,6,-0.09759417778567966,9
GSM806379,Control,0,GSE32537,0.649849225754891,11,-0.11630078253906355,7,-0.13589391038427506,4,-0.1853782419591218,10,-1.3351081433828722,10,0.31996820718437563,6,-0.4157896444929999,9
GSM806380,Control,0,GSE32537,-0.05238203634610461,11,-0.4481396345949232,7,-0.6211045298568535,4,-0.49000183871421427,10,-0.09281532164419863,10,0.22160901856641527,6,-0.1627915878130349,9
GSM806381,Control,0,GSE32537,-0.1948590487347963,11,-0.062283730172548915,7,-0.8157150430567675,4,0.2600597626720846,10,-1.1199076888907904,10,0.41434247713594713,6,0.2584461113559533,9
GSM806382,Control,0,GSE32537,0.05606925000553203,11,0.7676439628011763,7,0.4915731096440927,4,-0.25538268565578104,10,-0.6679808902951592,10,0.2692762224190752,6,-0.19709428754672983,9
GSM806383,Control,0,GSE32537,0.7697030762803186,11,0.12927287548563704,7,-0.7515490021358041,4,-1.0324172540989616,10,-0.7247984162703579,10,0.8074735051096574,6,0.03161059992409086,9
