data_type,standard_feature_id,GSE32537_logFC,GSE32537_adj_p,GSE32537_direction,GSE32537_fdr_sig,GSE110147_logFC,GSE110147_adj_p,GSE110147_direction,GSE110147_fdr_sig,GSE150910_logFC,GSE150910_adj_p,GSE150910_direction,GSE150910_fdr_sig,GSE53845_logFC,GSE53845_adj_p,GSE53845_direction,GSE53845_fdr_sig,GSE92592_logFC,GSE92592_adj_p,GSE92592_direction,GSE92592_fdr_sig,validation_datasets_present,same_direction_validation_count,same_direction_fdr_sig_count,robust_strict,robust_relaxed,GSE32538_logFC,GSE32538_adj_p,GSE32538_direction,GSE32538_fdr_sig,GSE21394_logFC,GSE21394_adj_p,GSE21394_direction,GSE21394_fdr_sig,GSE27430_logFC,GSE27430_adj_p,GSE27430_direction,GSE27430_fdr_sig
bulk mRNA,AMPD1,1.28165429915967,3.9279950058886e-15,up,True,1.56574863636364,1.18685222859541e-07,up,True,2.03744230226093,4.51765070933625e-12,up,True,1.5434975,0.0013146394247066,up,True,0.820821015637584,0.0768038196969436,up,False,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,ANK2,1.01405958151261,1.37931167958815e-27,up,True,1.15946590909091,2.979648470432e-08,up,True,1.29520588577554,7.60358542208634e-19,up,True,0.3729775,0.0102020091817268,up,False,0.823154074078521,0.002575918192655,up,False,4,4,2,True,True,,,,,,,,,,,,
bulk mRNA,ANKRD1,-1.5915979394958,8.494963950342211e-09,down,True,-1.63005909090909,0.0119455482033825,down,True,-2.78466940505028,9.99112356895474e-14,down,True,-0.5323325,0.0249518413081141,down,False,-2.4166278353271,0.0006655094657662,down,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,ANKRD36B,1.00686930084034,3.25413513107121e-24,up,True,1.84101636363637,5.41455656936226e-16,up,True,0.0998085836921101,0.332553293574572,up,False,0.1839375,0.0533882568578123,up,False,-0.29169765031619,0.0645900180344406,down,False,4,3,1,False,False,,,,,,,,,,,,
bulk mRNA,ANKRD36C,1.06573134789916,1.7246915468511e-18,up,True,1.36881227272727,6.5495413161136095e-12,up,True,0.345240896056736,0.0083053247499377,up,False,,,missing,False,,,missing,False,2,2,1,False,False,,,,,,,,,,,,
bulk mRNA,APLNR,1.01217284201681,8.454506228997901e-22,up,True,-0.682353181818182,0.0061582436964576,down,False,0.724755445438062,0.0017879609143648,up,False,0.313715,0.0139800067486437,up,False,-0.44337398772097,0.233435335505229,down,False,4,2,0,False,False,,,,,,,,,,,,
bulk mRNA,ARMC2,1.01808140672269,1.00289461749457e-15,up,True,0.734196363636364,0.0005573173619353,up,False,0.272208879464546,0.0091209188145761,up,False,0.3284125,0.288012647524261,up,False,0.330191340157764,0.21061119692917,up,False,4,4,0,False,False,,,,,,,,,,,,
bulk mRNA,ARMC3,1.76485148067227,1.31540359007653e-13,up,True,2.41479818181818,2.39328882131723e-05,up,True,2.05164115565166,3.4097161874295403e-09,up,True,1.073725,0.260579546343297,up,False,1.75813870833743,0.0212362245393971,up,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,ARMC4,1.49394695126051,2.356847589495e-13,up,True,1.89476545454546,0.0001021997777808,up,True,1.33341440252031,1.26816343879307e-06,up,True,1.0231375,0.159204390406922,up,False,1.51604014102435,0.018737828152035,up,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,ASPA,1.00047614453782,1.17786344286471e-22,up,True,0.183358636363637,0.226817434112556,up,False,0.614156348717625,0.127562869485457,up,False,0.3148675,0.180658641345838,up,False,-0.18161672799371,0.279985934621828,down,False,4,3,0,False,False,,,,,,,,,,,,
